first_name,last_name,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM
alec,brown,22.7,0.569,0.536,0.28800000000000003,0.349,412,8.5,12.8,10.8,7.0,1.0,10.9,13.8,26.2,1.9,2.0,3.9,0.17,1.0,3.7,4.6
semaj,christon,19.1,0.544,0.501,0.11699999999999901,0.56,565,1.5,7.4,4.6,25.3,2.3,0.8,14.3,26.9,2.6,1.3,4.0,0.133,3.7,1.2,4.9
roy,devyn-marble,22.6,0.528,0.479,0.342,0.456,534,2.9,8.6,5.9,23.6,3.5,0.8,9.7,28.4,3.0,1.6,4.6,0.187,6.8,1.7,8.5
jordan,mcrae,24.0,0.565,0.513,0.439,0.414,623,2.6,10.0,6.3,17.6,1.3,3.3,11.2,30.4,4.3,2.0,6.2,0.21,7.1,1.3,8.4
xavier,thames,26.5,0.557,0.478,0.35700000000000004,0.514,607,2.1,8.5,5.3,23.7,3.3,0.5,8.2,28.6,4.7,2.8,7.5,0.267,7.9,2.2,10.1
cory,jefferson,23.8,0.552999999999999,0.519,0.10300000000000001,0.5820000000000001,487,11.6,21.0,16.4,7.4,0.8,4.7,9.8,24.2,3.3,1.6,4.9,0.179,3.4,2.5,6.0
anthony,bennett,28.3,0.609,0.58,0.253,0.467,488,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.23800000000000002,5.3,3.2,8.5
victor,oladipo,28.9,0.670999999999999,0.648,0.223999999999999,0.428,478,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,4.2,2.6,6.7,0.264,9.7,7.3,17.0
otto,porter,27.3,0.59,0.541,0.29100000000000004,0.449,477,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,7.1,0.26,7.2,6.1,13.3
cody,zeller,29.8,0.624,0.564,0.006,0.7340000000000001,567,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.3,0.27399999999999897,6.1,5.2,11.3
alex,len,24.5,0.57,0.535,0.025,0.47200000000000003,434,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,3.0,2.0,5.0,0.2,2.7,5.3,8.0
nerlens,noel,27.3,0.583,0.59,0.0,0.627,257,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.20600000000000002,2.9,11.7,14.6
ben,mclemore,23.2,0.633,0.586,0.435,0.345,530,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.3,2.9,10.0
kentavious,caldwell-pope,27.7,0.579,0.53,0.523,0.39299999999999896,521,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,3.9,2.4,6.2,0.23,8.9,3.2,12.1
trey,burke,28.7,0.569,0.53,0.354,0.29600000000000004,776,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,6.7,1.8,8.6,0.249,9.9,2.3,12.2
cj,mccollum,34.7,0.628,0.58,0.33,0.376,250,4.0,15.8,10.0,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,8.7,-0.7,8.1
michael,carter-williams,20.9,0.491,0.43799999999999895,0.302,0.47200000000000003,580,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,2.7,3.5,6.1,0.174,4.7,5.2,10.0
steven,adams,23.2,0.555,0.5710000000000001,0.0,0.4,228,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,3.0,8.8,11.9
kelly,olynyk,36.2,0.675,0.642,0.08800000000000001,0.49700000000000005,516,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,4.7,1.9,6.7,0.315,8.7,4.7,13.4
shabazz,muhammad,21.9,0.528,0.48700000000000004,0.23199999999999898,0.395,520,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,4.6,-1.9,2.7
shane,larkin,22.6,0.6,0.569,0.445,0.293,537,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,4.3,2.3,6.5,0.19899999999999898,7.4,3.2,10.6
tony,snell,17.0,0.562,0.516,0.48100000000000004,0.299,408,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,2.1,1.5,3.6,0.133,4.1,1.7,5.8
gorgui,dieng,23.8,0.562,0.534,0.0,0.479,352,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.6,0.218999999999999,4.0,11.0,15.0
mason,plumlee,26.3,0.628,0.599,0.0,0.688,605,9.7,25.1,17.4,11.5,1.7,4.0,17.4,24.5,4.3,2.6,6.9,0.22,4.9,5.7,10.7
solomon,hill,20.1,0.579,0.541,0.423,0.359,468,6.6,13.9,10.2,16.8,2.1,1.8,16.0,21.4,3.3,1.8,5.1,0.17600000000000002,5.9,3.4,9.3
tim,hardaway-jr,17.7,0.5379999999999989,0.516,0.424,0.24100000000000002,505,0.8,16.3,8.4,13.0,1.2,1.4,12.2,23.7,2.8,1.7,4.5,0.136,3.8,2.0,5.8
reggie,bullock,23.7,0.625,0.607,0.5670000000000001,0.205,460,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,4.1,1.6,5.7,0.207,8.9,3.1,12.0
andre,roberson,21.9,0.524,0.515,0.21100000000000002,0.35600000000000004,348,10.6,29.4,20.0,9.4,3.9,4.4,18.7,19.9,1.4,2.9,4.3,0.166,2.1,7.7,9.8
archie,goodwin,16.9,0.509,0.46399999999999897,0.179,0.594,467,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.6,1.5,3.1,0.11699999999999901,1.2,1.2,2.4
allen,crabbe,22.3,0.568,0.528,0.39299999999999896,0.297,548,3.3,16.0,9.8,16.2,1.9,1.9,13.5,26.6,3.3,1.8,5.1,0.17,6.2,2.1,8.3
carrick,felix,21.5,0.586,0.569,0.368,0.32299999999999895,481,7.1,20.0,13.6,9.6,2.4,3.2,13.8,21.3,3.0,2.1,5.1,0.165,3.8,2.8,6.6
isaiah,canaan,25.2,0.5760000000000001,0.525,0.509,0.371,650,2.0,10.0,5.9,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.9,0.207,6.4,-1.7,4.7
glen,rice-jr,23.0,0.539,0.525,0.40399999999999897,0.29600000000000004,266,8.0,20.7,14.2,19.1,2.8,3.3,15.9,25.9,1.3,1.1,2.4,0.156,4.5,2.8,7.3
ray,mccallum,25.7,0.578,0.539,0.298,0.47,617,4.0,14.3,8.7,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.0,0.2,6.5,0.5,7.1
